Order ID,OrderDate,Gender,Phone,City,State,Product,Category,Customer Segment,Sales Channel,Quantity,Unit Price,Discount,Revenue,Cost,Profit,Payment,Salesperson,Order Status,Customer Rating,Delivery Days,Returned,Customer Satisfaction
ORD10001,15/04/2025,Male,8536146025,Chennai,Tamil Nadu,Monitor,Electronics,Enterprise,Online,5,18000,3,87300,60621.35,26678.65,UPI,Priya,Pending,,9,Yes,3.7
ORD10002,07/01/2025,Female,7193448329,Coimbatore,Tamil Nadu,Webcam,Accessories,Corporate,Retail Store,4,3500,8,12880,10659.93,2220.07,Debit Card,Priya,Completed,4,2,No,4.5
ORD10003,08/05/2025,Female,9562265906,Pune,Maharashtra,SSD,Storage,Small Business,Retail Store,1,6500,15,5525,4746.7,778.3,EMI,Priya,Completed,,4,No,5
ORD10004,09/01/2026,Male,8878380452,Bangalore,Karnataka,Mouse,Accessories,Small Business,Online,7,900,5,5985,4591.56,1393.44,Cash,Karthik,Pending,2,8,No,2.8
ORD10005,27/02/2025,Female,7149938334,Mumbai,Maharashtra,Webcam,Accessories,Consumer,Retail Store,6,3500,20,16800,16892.3,-92.3,Cash,Sneha,Pending,,8,No,4.7
ORD10006,29/07/2026,Female,9856119925,Hyderabad,Telangana,Smartphone,Electronics,Enterprise,Distributor,5,32000,3,155200,108670.5,46529.5,Credit Card,Karthik,Returned,1,1,Yes,2.5
ORD10007,25/04/2026,Male,8921794983,Coimbatore,Tamil Nadu,Keyboard,Accessories,Consumer,Distributor,2,1800,8,3312,2561.72,750.28,EMI,Sneha,Completed,3,7,Yes,3.4
ORD10008,03/10/2026,Other,6854316681,Kochi,Kerala,Headset,Accessories,Corporate,Distributor,3,2200,10,5940,5537.6,402.4,Credit Card,Suresh,Completed,5,6,No,2.1
ORD10009,04/08/2026,Male,9266761413,Pune,Maharashtra,Printer,Office Equipment,Corporate,Retail Store,4,12000,0,48000,32534.84,15465.16,EMI,Meena,Pending,3,9,No,4.9
ORD10010,28/10/2026,Female,6519709079,Mumbai,Maharashtra,Webcam,Accessories,Corporate,Retail Store,5,3500,8,16100,15029.63,1070.37,UPI,Sneha,Completed,5,9,Yes,3.8
ORD10011,02/02/2025,Male,7196050747,Bangalore,Karnataka,Laptop,Electronics,Enterprise,Retail Store,1,55000,3,53350,34989.68,18360.32,Cash,Karthik,Returned,2,8,No,2.6
ORD10012,25/02/2025,Male,7729245242,Coimbatore,Tamil Nadu,Monitor,Electronics,Small Business,Online,,18000,8,99360,77615.77,21744.23,Credit Card,Divya,Pending,5,8,Yes,3.3
ORD10013,30/03/2026,Other,8321807489,Trichy,Tamil Nadu,Headset,Accessories,Consumer,Online,4,2200,20,7040,7405.94,-365.94,Credit Card,Karthik,Returned,4,8,Yes,4.6
ORD10014,29/09/2025,Other,9137496438,Hyderabad,Telangana,Laptop,Electronics,Enterprise,Retail Store,7,55000,0,385000,329742.54,55257.46,Credit Card,Rahul,Pending,1,10,Yes,4.2
ORD10015,28/06/2026,Male,9656488400,Chennai,Tamil Nadu,Laptop,Electronics,Corporate,Online,8,55000,10,396000,369887.28,26112.72,Cash,Priya,Pending,4,2,Yes,3.7
ORD10016,02/08/2026,female,8876451163,Madurai,Tamil Nadu,Laptop,Electronics,Small Business,Retail Store,2,55000,8,101200,85554.65,15645.35,Debit Card,Vijay,Pending,,11,No,3.4
ORD10017,13/04/2025,Other,7139027119,Chennai,Tamil Nadu,Monitor,Electronics,Corporate,Distributor,8,18000,10,129600,123786.59,5813.41,UPI,Divya,Cancelled,3,3,No,4.5
ORD10018,03/11/2025,Female,6495762348,Madurai,Tamil Nadu,Headset,Accessories,Consumer,Retail Store,1,2200,15,1870,1795.43,74.57,Debit Card,Rahul,Pending,,6,Yes,4.1
ORD10019,22/02/2025,Female,6189351213,Kochi,Kerala,Headset,Accessories,Consumer,Distributor,8,2200,5,16720,14736.14,1983.86,Credit Card,Rahul,Pending,,8,No,3.7
ORD10020,14/01/2026,Female,6547374338,Bangalore,Karnataka,Monitor,Electronics,Consumer,Distributor,3,18000,10,48600,33946.92,14653.08,Debit Card,Arun,Cancelled,2,11,Yes,4
ORD10021,31/08/2025,Male,6770348179,Kochi,Kerala,Printer,Office Equipment,Small Business,Direct Sales,7,12000,10,75600,67189.47,8410.53,EMI,Divya,Cancelled,2,12,Yes,3.1
